dataset,column,missing_count,completeness_score
customers,customer_id,0,100.0
customers,customer_unique_id,0,100.0
customers,customer_zip_code_prefix,0,100.0
customers,customer_city,0,100.0
customers,customer_state,0,100.0
geolocation,geolocation_zip_code_prefix,0,100.0
geolocation,geolocation_lat,0,100.0
geolocation,geolocation_lng,0,100.0
geolocation,geolocation_city,0,100.0
geolocation,geolocation_state,0,100.0
order_items,order_id,0,100.0
order_items,order_item_id,0,100.0
order_items,product_id,0,100.0
order_items,seller_id,0,100.0
order_items,shipping_limit_date,0,100.0
order_items,price,0,100.0
order_items,freight_value,0,100.0
order_payments,order_id,0,100.0
order_payments,payment_sequential,0,100.0
order_payments,payment_type,0,100.0
order_payments,payment_installments,0,100.0
order_payments,payment_value,0,100.0
order_reviews,review_id,0,100.0
order_reviews,order_id,0,100.0
order_reviews,review_score,0,100.0
order_reviews,review_comment_title,87658,11.6565
order_reviews,review_comment_message,58274,41.2703
order_reviews,review_creation_date,0,100.0
order_reviews,review_answer_timestamp,0,100.0
orders,order_id,0,100.0
orders,customer_id,0,100.0
orders,order_status,0,100.0
orders,order_purchase_timestamp,0,100.0
orders,order_approved_at,160,99.8391
orders,order_delivered_carrier_date,1783,98.207
orders,order_delivered_customer_date,2965,97.0183
orders,order_estimated_delivery_date,0,100.0
products,product_id,0,100.0
products,product_category_name,610,98.1488
products,product_name_lenght,610,98.1488
products,product_description_lenght,610,98.1488
products,product_photos_qty,610,98.1488
products,product_weight_g,2,99.9939
products,product_length_cm,2,99.9939
products,product_height_cm,2,99.9939
products,product_width_cm,2,99.9939
sellers,seller_id,0,100.0
sellers,seller_zip_code_prefix,0,100.0
sellers,seller_city,0,100.0
sellers,seller_state,0,100.0
category_translation,product_category_name,0,100.0
category_translation,product_category_name_english,0,100.0
