dataset,column,data_type,total_rows,non_null_count,null_count,null_percentage,unique_count,unique_percentage
customers,customer_id,str,99441,99441,0,0.0,99441,100.0
customers,customer_unique_id,str,99441,99441,0,0.0,96096,96.6362
customers,customer_zip_code_prefix,int64,99441,99441,0,0.0,14994,15.0783
customers,customer_city,str,99441,99441,0,0.0,4119,4.1422
customers,customer_state,str,99441,99441,0,0.0,27,0.0272
geolocation,geolocation_zip_code_prefix,int64,738332,738332,0,0.0,19015,2.5754
geolocation,geolocation_lat,float64,738332,738332,0,0.0,717349,97.1581
geolocation,geolocation_lng,float64,738332,738332,0,0.0,717613,97.1938
geolocation,geolocation_city,str,738332,738332,0,0.0,8010,1.0849
geolocation,geolocation_state,str,738332,738332,0,0.0,27,0.0037
order_items,order_id,str,112650,112650,0,0.0,98666,87.5863
order_items,order_item_id,int64,112650,112650,0,0.0,21,0.0186
order_items,product_id,str,112650,112650,0,0.0,32951,29.2508
order_items,seller_id,str,112650,112650,0,0.0,3095,2.7474
order_items,shipping_limit_date,str,112650,112650,0,0.0,93318,82.8389
order_items,price,float64,112650,112650,0,0.0,5968,5.2978
order_items,freight_value,float64,112650,112650,0,0.0,6999,6.213
order_payments,order_id,str,103886,103886,0,0.0,99440,95.7203
order_payments,payment_sequential,int64,103886,103886,0,0.0,29,0.0279
order_payments,payment_type,str,103886,103886,0,0.0,5,0.0048
order_payments,payment_installments,int64,103886,103886,0,0.0,24,0.0231
order_payments,payment_value,float64,103886,103886,0,0.0,29077,27.9893
order_reviews,review_id,str,99224,99224,0,0.0,98410,99.1796
order_reviews,order_id,str,99224,99224,0,0.0,98673,99.4447
order_reviews,review_score,int64,99224,99224,0,0.0,5,0.005
order_reviews,review_comment_title,str,99224,11566,87658,88.3435,4178,36.1231
order_reviews,review_comment_message,str,99224,40950,58274,58.7297,35616,86.9744
order_reviews,review_creation_date,str,99224,99224,0,0.0,636,0.641
order_reviews,review_answer_timestamp,str,99224,99224,0,0.0,98248,99.0164
orders,order_id,str,99441,99441,0,0.0,99441,100.0
orders,customer_id,str,99441,99441,0,0.0,99441,100.0
orders,order_status,str,99441,99441,0,0.0,8,0.008
orders,order_purchase_timestamp,str,99441,99441,0,0.0,98875,99.4308
orders,order_approved_at,str,99441,99281,160,0.1609,90733,91.3901
orders,order_delivered_carrier_date,str,99441,97658,1783,1.793,81018,82.9609
orders,order_delivered_customer_date,str,99441,96476,2965,2.9817,95664,99.1583
orders,order_estimated_delivery_date,str,99441,99441,0,0.0,459,0.4616
products,product_id,str,32951,32951,0,0.0,32951,100.0
products,product_category_name,str,32951,32341,610,1.8512,73,0.2257
products,product_name_lenght,float64,32951,32341,610,1.8512,66,0.2041
products,product_description_lenght,float64,32951,32341,610,1.8512,2960,9.1525
products,product_photos_qty,float64,32951,32341,610,1.8512,19,0.0587
products,product_weight_g,float64,32951,32949,2,0.0061,2204,6.6891
products,product_length_cm,float64,32951,32949,2,0.0061,99,0.3005
products,product_height_cm,float64,32951,32949,2,0.0061,102,0.3096
products,product_width_cm,float64,32951,32949,2,0.0061,95,0.2883
sellers,seller_id,str,3095,3095,0,0.0,3095,100.0
sellers,seller_zip_code_prefix,int64,3095,3095,0,0.0,2246,72.5687
sellers,seller_city,str,3095,3095,0,0.0,611,19.7415
sellers,seller_state,str,3095,3095,0,0.0,23,0.7431
category_translation,product_category_name,str,71,71,0,0.0,71,100.0
category_translation,product_category_name_english,str,71,71,0,0.0,71,100.0
