rank,opportunity_id,opportunity_name,opportunity_type,opportunity_score,opportunity_level,confidence_score
1,product_beleza_saude,beleza_saude,product,85.43414909096056,High,99.68
2,seller_4a3ca9315b744ce9f8e9374361493884,4a3ca9315b744ce9f8e9374361493884,seller,76.36663000373221,High,99.68
3,seller_6560211a19b47992c3666cc44a7e94c0,6560211a19b47992c3666cc44a7e94c0,seller,73.4068496574636,Medium,99.68
4,seller_4869f7a5dfa277a7dca6462dcf3b52b2,4869f7a5dfa277a7dca6462dcf3b52b2,seller,71.23806284069296,Medium,99.68
5,delivery_AL,AL,delivery,68.61760063834433,Medium,99.68
6,seller_cc419e0650a3c5ba77189a1882b7556a,cc419e0650a3c5ba77189a1882b7556a,seller,66.75220071441584,Medium,99.68
7,seller_7c67e1448b00f6e969d365cea6b010ab,7c67e1448b00f6e969d365cea6b010ab,seller,65.71250438825486,Medium,99.68
8,customer_0a0a92112bd4c708ca5fde585afaa872,0a0a92112bd4c708ca5fde585afaa872,customer,65.65918653576438,Medium,70.68
9,seller_da8622b14eb17ae2831f4ac5b9dab84a,da8622b14eb17ae2831f4ac5b9dab84a,seller,63.788147452841095,Medium,99.68
10,seller_955fee9216a65b617aa5c0531780ce60,955fee9216a65b617aa5c0531780ce60,seller,62.090477727241634,Medium,99.68
11,product_cama_mesa_banho,cama_mesa_banho,product,61.061019191988386,Medium,99.68
12,seller_1f50f920176fa81dab994f9023523100,1f50f920176fa81dab994f9023523100,seller,60.507838974861365,Medium,99.68
13,seller_7a67c85e85bb2ce8582c35f2203ad736,7a67c85e85bb2ce8582c35f2203ad736,seller,60.32746166153078,Medium,99.68
14,delivery_MA,MA,delivery,58.95377325281131,Medium,99.68
15,seller_1025f0e2d44d7041d6cf58b6550e0bfa,1025f0e2d44d7041d6cf58b6550e0bfa,seller,58.90457812029501,Medium,99.68
16,seller_fa1c13f2614d7b5c4749cbc52fecda94,fa1c13f2614d7b5c4749cbc52fecda94,seller,56.97690671787678,Medium,99.68
17,seller_53243585a1d6dc2643021fd1853d8905,53243585a1d6dc2643021fd1853d8905,seller,56.93865085077546,Medium,99.68
18,product_moveis_decoracao,moveis_decoracao,product,53.53411457930858,Medium,99.68
19,seller_3d871de0142ce09b7081e2b9d1733cb1,3d871de0142ce09b7081e2b9d1733cb1,seller,52.43609686137047,Medium,99.68
20,product_relogios_presentes,relogios_presentes,product,52.256908347159786,Medium,99.68
21,product_esporte_lazer,esporte_lazer,product,52.1316556126806,Medium,99.68
22,seller_7e93a43ef30c4f03f38b393420bc753a,7e93a43ef30c4f03f38b393420bc753a,seller,50.19217061604974,Medium,99.68
