customer_state,total_orders,delayed_orders,average_delay_days,average_review_score,delay_rate_percentage,customer_impact_score,delay_rate,delay_duration,order_volume,customer_impact,opportunity_score,opportunity_level,opportunity_type,data_quality_confidence,sample_size_confidence,metric_completeness,confidence_score
AL,397,95,-8.032058873262432,3.8527918781725887,23.929471032745592,22.944162436548226,100.0,100.0,0.87988136431043,22.944162436548226,68.61760063834433,Medium,delivery,99.3646,100.0,100.0,99.68
MA,717,141,-8.88784447802056,3.833567415730337,19.665271966527197,23.328651685393258,79.74137948797623,92.8950660500926,1.6707859614434009,23.328651685393258,58.95377325281131,Medium,delivery,99.3646,100.0,100.0,99.68
SE,335,51,-9.328641480099503,3.907185628742515,15.223880597014924,21.8562874251497,58.640942828455955,89.2354653654407,0.726643598615917,21.8562874251497,49.18901530623819,Low,delivery,99.3646,100.0,100.0,99.68
CE,1279,196,-10.1100067507891,3.941869599371563,15.32447224394058,21.162608012568736,59.11883984266678,82.748386582934,3.059812160158181,21.162608012568736,48.12098621671716,Low,delivery,99.3646,100.0,100.0,99.68
SP,40501,2387,-10.380349671144696,4.246550625315555,5.893681637490433,15.068987493688901,14.314456872369718,80.5039358907604,100.0,15.068987493688901,48.11211484569132,Low,delivery,99.3646,100.0,100.0,99.68
RJ,12350,1664,-11.054734766269306,3.965140720115743,13.473684210526315,20.69718559768514,50.32600164846273,74.90503175984014,30.422639644092932,20.69718559768514,48.04576436781648,Low,delivery,99.3646,100.0,100.0,99.68
PI,476,76,-10.629538179855276,3.9936305732484074,15.966386554621847,20.12738853503185,62.16848602929795,78.43511411387975,1.0751359367276323,20.12738853503185,47.71030840778942,Low,delivery,99.3646,100.0,100.0,99.68
BA,3256,457,-10.099072598877285,3.930009290802106,14.035626535626536,21.39981418395788,52.99571198258778,82.83916449120889,7.946119624320317,21.39981418395788,46.70727196829508,Low,delivery,99.3646,100.0,100.0,99.68
ES,1995,244,-9.797108894922491,4.079735906551549,12.230576441102757,18.405281868969023,44.42016841572068,85.34613838740404,4.829461196243203,18.405281868969023,42.83128648273328,Low,delivery,99.3646,100.0,100.0,99.68
MS,701,81,-10.355557916600624,4.160228898426324,11.554921540656206,16.795422031473528,41.21022534958361,80.70976288476287,1.6312407315867523,16.795422031473528,39.50709231206254,Low,delivery,99.3646,100.0,100.0,99.68
TO,274,35,-11.439737724722898,4.153846153846154,12.773722627737227,16.923076923076916,47.000580893353586,71.70864638583653,0.5758774097874444,16.923076923076916,39.3810309742196,Low,delivery,99.3646,100.0,100.0,99.68
SC,3546,346,-10.801736195974598,4.133276499005399,9.75747320924986,17.334470019892017,32.67079670883203,77.00548556669395,8.662876915472072,17.334470019892017,36.65243596128451,Low,delivery,99.3646,100.0,100.0,99.68
PA,946,117,-13.386288478290659,3.909967845659164,12.367864693446089,21.80064308681672,45.07240593132265,55.54792288529312,2.236777063766683,21.80064308681672,35.633394969628185,Low,delivery,99.3646,100.0,100.0,99.68
PE,1593,172,-12.60791818517356,4.082963901203294,10.797237915881984,18.340721975934127,37.61057514936723,62.010136657549886,3.8358872960949086,18.340721975934127,34.06504997974346,Low,delivery,99.3646,100.0,100.0,99.68
